scenario,uncertainty,trial,seed,method,outcome,completion_time,minimum_clearance,control_effort,control_smoothness,planning_time,planning_failure_detail
lane_change,0.5,0,2026,deterministic_stl,success,3.6,3.0629310607910156,8.140695571899414,98.33535766601562,9.60157577998325,
lane_change,0.5,0,2026,pdstl,success,3.6,2.461627960205078,4.347577095031738,28.948928833007812,82.81128040900512,
lane_change,1.0,0,2026,deterministic_stl,success,3.6,3.1026535034179688,8.336371421813965,107.34269714355469,9.288795881002443,
lane_change,1.0,0,2026,pdstl,success,3.6,3.2577743530273438,6.4294304847717285,49.21589660644531,85.21758951299125,
lane_change,2.0,0,2026,deterministic_stl,success,3.6,3.1011924743652344,7.74953031539917,103.14469146728516,9.533459578997281,
lane_change,2.0,0,2026,pdstl,success,3.6,3.9714317321777344,6.469595432281494,44.75198745727539,83.28644990102475,
lane_merge,0.5,0,102026,deterministic_stl,success,3.6,8.311962127685547,13.2060546875,84.08570861816406,9.057391472983,
lane_merge,0.5,0,102026,pdstl,success,4.2,6.167430877685547,19.19121742248535,123.97803497314453,132.49816252998426,
lane_merge,1.0,0,102026,deterministic_stl,success,3.6,8.358924865722656,12.79484748840332,80.4613265991211,8.767892306983413,
lane_merge,1.0,0,102026,pdstl,success,3.6,8.570758819580078,15.762245178222656,117.10548400878906,111.20498418803618,
lane_merge,2.0,0,102026,deterministic_stl,success,3.6,8.43349838256836,12.562298774719238,94.49313354492188,9.107098627020605,
lane_merge,2.0,0,102026,pdstl,success,3.6,8.013557434082031,15.18969440460205,90.65337371826172,114.35617917701165,
