scenario,uncertainty,trial,seed,method,window,hard_lower,hard_upper,smooth_score,planning_time
lane_change,0.5,0,2026,deterministic_stl,0,0.9999604225158691,1.0,0.8517925143241882,0.9042802750045666
lane_change,0.5,0,2026,deterministic_stl,1,0.999948263168335,1.0,0.8516338467597961,0.5606092009984422
lane_change,0.5,0,2026,deterministic_stl,2,0.9999860525131226,1.0,0.8594456911087036,0.543204235000303
lane_change,0.5,0,2026,deterministic_stl,3,0.9999773502349854,1.0,0.8750168085098267,0.5580198329989798
lane_change,0.5,0,2026,deterministic_stl,4,0.9999868869781494,1.0,0.8955227732658386,0.5546891709964257
lane_change,0.5,0,2026,deterministic_stl,5,0.9999852180480957,1.0,0.8912209272384644,0.5587308869944536
lane_change,0.5,0,2026,deterministic_stl,6,0.9999871253967285,1.0,0.9023693799972534,0.5778308259978076
lane_change,0.5,0,2026,deterministic_stl,7,0.9999868869781494,1.0,0.9033086895942688,0.46314026299660327
lane_change,0.5,0,2026,deterministic_stl,8,0.9999866485595703,1.0,0.9036349058151245,0.5569118880011956
lane_change,0.5,0,2026,deterministic_stl,9,0.9999866485595703,1.0,0.9135756492614746,0.5609763210013625
lane_change,0.5,0,2026,deterministic_stl,10,0.9999867677688599,1.0,0.9143506288528442,0.5611383889990975
lane_change,0.5,0,2026,deterministic_stl,11,0.9999871253967285,1.0,0.9041891098022461,0.49466898199898424
lane_change,0.5,0,2026,deterministic_stl,12,0.9999862909317017,1.0,0.9149354100227356,0.5562837139950716
lane_change,0.5,0,2026,deterministic_stl,13,0.9999806880950928,0.9999821782112122,0.7126234769821167,0.3992352809946169
lane_change,0.5,0,2026,deterministic_stl,14,0.9999954700469971,0.9999969601631165,0.8707687258720398,0.4237820289999945
lane_change,0.5,0,2026,deterministic_stl,15,0.9999955892562866,0.9999970197677612,0.9226317405700684,0.4430441090007662
lane_change,0.5,0,2026,deterministic_stl,16,0.9999955892562866,0.9999970197677612,0.9214221835136414,0.4424661310040392
lane_change,0.5,0,2026,deterministic_stl,17,0.9999955892562866,0.9999970197677612,0.9255930781364441,0.4425642450005398
lane_change,0.5,0,2026,pdstl,0,0.9997416734695435,1.0,0.93426513671875,6.429673717000696
lane_change,0.5,0,2026,pdstl,1,0.9992051124572754,1.0,0.9324640035629272,6.5273397249984555
lane_change,0.5,0,2026,pdstl,2,0.9993817806243896,1.0,0.9318552017211914,5.757900559001428
lane_change,0.5,0,2026,pdstl,3,0.9995822906494141,1.0,0.9313246011734009,6.479589439004485
lane_change,0.5,0,2026,pdstl,4,0.9998213052749634,1.0,0.9307649731636047,5.621499496999604
lane_change,0.5,0,2026,pdstl,5,0.9999475479125977,1.0,0.92979896068573,5.8607646159944125
lane_change,0.5,0,2026,pdstl,6,0.9999334812164307,1.0,0.9284825325012207,5.843254652005271
lane_change,0.5,0,2026,pdstl,7,0.9999186992645264,1.0,0.9271306991577148,6.03652790599881
lane_change,0.5,0,2026,pdstl,8,0.9999254941940308,1.0,0.9256609082221985,6.489495642003021
lane_change,0.5,0,2026,pdstl,9,0.9999568462371826,1.0,0.9241012334823608,5.891444954999315
lane_change,0.5,0,2026,pdstl,10,0.9998838901519775,1.0,0.9266905784606934,5.824561661000189
lane_change,0.5,0,2026,pdstl,11,0.9999387264251709,1.0,0.9299299120903015,5.264023983996594
lane_change,0.5,0,2026,pdstl,12,0.9999161958694458,1.0,0.9302386045455933,5.539840543999162
lane_change,0.5,0,2026,pdstl,13,0.9781928062438965,0.9782891869544983,0.9262852668762207,1.0462004479995812
lane_change,0.5,0,2026,pdstl,14,0.9996809959411621,0.9997985363006592,0.9305938482284546,1.1217340200018953
lane_change,0.5,0,2026,pdstl,15,0.999690055847168,0.9998449683189392,0.930600643157959,1.1162444869987667
lane_change,0.5,0,2026,pdstl,16,0.9995951652526855,0.9997975826263428,0.9305386543273926,1.0562290380039485
lane_change,0.5,0,2026,pdstl,17,0.9995689392089844,0.9997844099998474,0.930455207824707,0.9049555189994862
lane_change,1.0,0,2026,deterministic_stl,0,0.9488084316253662,1.0,0.8846337199211121,0.45859632000065176
lane_change,1.0,0,2026,deterministic_stl,1,0.9624613523483276,1.0,0.8253756761550903,0.5321895750021213
lane_change,1.0,0,2026,deterministic_stl,2,0.96173095703125,1.0,0.8856058120727539,0.5647867200023029
lane_change,1.0,0,2026,deterministic_stl,3,0.9608312845230103,1.0,0.8967140316963196,0.5625807169999462
lane_change,1.0,0,2026,deterministic_stl,4,0.964372992515564,1.0,0.9022520780563354,0.5592488850015798
lane_change,1.0,0,2026,deterministic_stl,5,0.9673590660095215,1.0,0.8873922228813171,0.5604877310033771
lane_change,1.0,0,2026,deterministic_stl,6,0.9716702699661255,1.0,0.8967331647872925,0.5591693749956903
lane_change,1.0,0,2026,deterministic_stl,7,0.9719400405883789,1.0,0.8843015432357788,0.5614649760027532
lane_change,1.0,0,2026,deterministic_stl,8,0.9722893238067627,1.0,0.8831944465637207,0.5616565140007879
lane_change,1.0,0,2026,deterministic_stl,9,0.9708046913146973,1.0,0.9134131669998169,0.5618965469984687
